product_id,tot_consum_loss,mark_size,region,product
5292247,4498.54,3,gb,headphones
5567300,3695.769999999999,3,gb,headphones
5607862,28294.91,3,gb,headphones
5629971,17633.52,3,gb,headphones
5710005,26781.85,3,gb,headphones
5758203,3472.5900000000006,3,gb,headphones
427237,24862.039999999997,4,gb,headphones
427242,44876.89000000001,4,gb,headphones
456562,1384,4,gb,headphones
473199,14180.160000000002,4,gb,headphones
800434,1027.79,4,gb,headphones
925757,756.5200000000001,4,gb,headphones
2702409,6642.5199999999995,4,gb,headphones
2790551,12586.479999999998,4,gb,headphones
2909854,28572.51,4,gb,headphones
3236464,204807,4,gb,headphones
3264675,7327.42,4,gb,headphones
3264687,137703.05000000002,4,gb,headphones
3285839,6724.53,4,gb,headphones
3341463,1330.86,4,gb,headphones
3458265,8411.55,4,gb,headphones
3505419,19572.59,4,gb,headphones
3537595,5243.1399999999985,4,gb,headphones
3852940,3271.82,4,gb,headphones
3886247,8621.039999999999,4,gb,headphones
3911622,12705.67,4,gb,headphones
4238504,11820.52,4,gb,headphones
4479086,15296.44,4,gb,headphones
4543245,2498.510000000001,4,gb,headphones
4878914,16999,4,gb,headphones
4886988,3969.98,4,gb,headphones
4888375,3210.6800000000007,4,gb,headphones
4972896,12608.36,4,gb,headphones
5027097,5178.819999999999,4,gb,headphones
5088875,545.5500000000001,4,gb,headphones
5206857,14850.5,4,gb,headphones
5344127,6741.019999999999,4,gb,headphones
5471852,6646.8,4,gb,headphones
5592071,27759.7,4,gb,headphones
5629036,8534.53,4,gb,headphones
5676697,4497.3,4,gb,headphones
837771,32762.41,5,gb,headphones
862753,5212.509999999999,5,gb,headphones
2708300,13040.74,5,gb,headphones
2751000,152345.61,5,gb,headphones
2964478,41371.04,5,gb,headphones
2969530,45240.12,5,gb,headphones
2994559,49857.91,5,gb,headphones
2997355,21981.199999999997,5,gb,headphones
3240064,10436.23,5,gb,headphones
3331923,16650.23,5,gb,headphones
3767462,76865.24,5,gb,headphones
3770768,8003.47,5,gb,headphones
3891097,13337.54,5,gb,headphones
3895171,7552.05,5,gb,headphones
4175165,81733.72,5,gb,headphones
4813950,31763.8,5,gb,headphones
4936134,12397.870000000004,5,gb,headphones
4989697,17618.65,5,gb,headphones
5133287,25945.5,5,gb,headphones
5153418,7416.09,5,gb,headphones
5189525,19761.34,5,gb,headphones
5189578,79509.51,5,gb,headphones
5283116,12720.760000000002,5,gb,headphones
5425532,12715.96,5,gb,headphones
5477233,10400.21,5,gb,headphones
5608920,2467.17,5,gb,headphones
5700937,52288,5,gb,headphones
541262,24617.960000000003,6,gb,headphones
3183531,1873.43,6,gb,headphones
3894118,1170.81,6,gb,headphones
4169129,18383.72,6,gb,headphones
4257986,9895.78,6,gb,headphones
4676469,30238.28,6,gb,headphones
4866251,5889.3,6,gb,headphones
4910421,18148.3,6,gb,headphones
5082717,14511.659999999998,6,gb,headphones
5088772,2303.58,6,gb,headphones
5118446,16054.739999999998,6,gb,headphones
5301323,81864.85,6,gb,headphones
700049,10261.779999999995,7,gb,headphones
841321,576.3100000000001,7,gb,headphones
2884188,21006.160000000003,7,gb,headphones
2975408,8172.139999999999,7,gb,headphones
3290416,16346.71,7,gb,headphones
3760568,73476.63,7,gb,headphones
3760594,98713.93,7,gb,headphones
3888004,25264.27000000001,7,gb,headphones
4213708,13400.37,7,gb,headphones
4360499,8119.840000000001,7,gb,headphones
4643947,104063.32,7,gb,headphones
4924838,27308.640000000003,7,gb,headphones
5238208,8628.810000000001,7,gb,headphones
5297000,130083.15,7,gb,headphones
5342878,30490.43,7,gb,headphones
5457798,23657.91,7,gb,headphones
5481256,22949.85,7,gb,headphones
5530725,15212.02,7,gb,headphones
5629962,8133.54,7,gb,headphones
534005,1593.3700000000003,8,gb,headphones
702899,28691.860000000004,8,gb,headphones
3164005,7641.490000000001,8,gb,headphones
4317224,10283.19,8,gb,headphones
4486854,13755.320000000002,8,gb,headphones
4554964,7686.890000000001,8,gb,headphones
4906173,6195.850000000001,8,gb,headphones
4914076,19270.590000000004,8,gb,headphones
5277547,6175.409999999998,8,gb,headphones
5421145,65938.53,8,gb,headphones
5461739,22296.619999999995,8,gb,headphones
5474674,11576.4,8,gb,headphones
5603585,21300.02,8,gb,headphones
4026952,11162.57,9,gb,headphones
4221036,7496.15,9,gb,headphones
4465682,186357.89,9,gb,headphones
4481243,30612.97,9,gb,headphones
4536567,38281.42,9,gb,headphones
4942578,7921.860000000001,9,gb,headphones
4989693,12232.119999999995,9,gb,headphones
5039861,27259.56,9,gb,headphones
5389431,22104.360000000004,9,gb,headphones
5390551,3339.389999999999,9,gb,headphones
5461737,11995.279999999995,9,gb,headphones
5461738,19408.28,9,gb,headphones
5710071,11026.18,9,gb,headphones
5327973,7241.82,10,gb,headphones
5407696,22909.459999999992,10,gb,headphones
5471392,11658.65,10,gb,headphones
5501687,5328.95,10,gb,headphones
589062,5715.099999999998,11,gb,headphones
2801104,8972.210000000001,11,gb,headphones
3745955,31679.73,11,gb,headphones
5294043,14484.109999999995,11,gb,headphones
2640186,27792.839999999997,12,gb,headphones
3678405,14445.01,12,gb,headphones
4861176,12376.000000000002,12,gb,headphones
5292645,3789.5500000000006,12,gb,headphones
5311758,5625.1,12,gb,headphones
5476964,31918.12,12,gb,headphones
5783660,20358.26,12,gb,headphones
2983138,5309.86,13,gb,headphones
4924285,2086.9,13,gb,headphones
5233115,14047.22,13,gb,headphones
5245219,37792.91,14,gb,headphones
5297006,6468.620000000001,14,gb,headphones
5343752,2526.6799999999994,14,gb,headphones
5783598,14763.770000000002,14,gb,headphones
2982204,11412.4,15,gb,headphones
5206082,41816.88,15,gb,headphones
5783520,10871.36,15,gb,headphones
4779863,20941.749999999996,16,gb,headphones
4910342,25150.03,16,gb,headphones
5118137,194982.87,16,gb,headphones
5206083,22241.069999999996,16,gb,headphones
5399647,28997.24,16,gb,headphones
5770117,4419.3499999999995,16,gb,headphones
5264064,72921.01000000001,17,gb,headphones
5599237,10063.76,17,gb,headphones
3310498,31112.33,18,gb,headphones
3829325,23489.71,18,gb,headphones
5344585,30758.85,19,gb,headphones
4968964,8982.600000000002,20,gb,headphones
5723653,5442.18,20,gb,headphones
5792157,9772.740000000002,20,gb,headphones
3633802,131740,2,se,freezers
1537955,1320121,6,se,freezers
2430737,948828,6,se,freezers
4716863,1717885.24,6,se,freezers
5695244,537127,10,se,freezers
5380764,677742,14,se,freezers
5411093,832827,15,se,freezers
5547653,1440552,15,se,freezers
5473627,769602,20,se,freezers
2759849,12376,2,se,headphones
3065280,31528,2,se,headphones
3129218,19031,2,se,headphones
3790180,13813.94,2,se,headphones
3892117,210929,2,se,headphones
3965204,17392.230000000003,2,se,headphones
4026913,4343.619999999997,2,se,headphones
5154449,2518,2,se,headphones
5206083,67017,2,se,headphones
5761631,74651.53,2,se,headphones
427228,133904,3,se,headphones
2640186,124126.33,3,se,headphones
2679724,33591.69,3,se,headphones
4118556,12060,3,se,headphones
4747588,2186679.4,3,se,headphones
4856524,30908,3,se,headphones
4893970,69839.83,3,se,headphones
5206082,648586,3,se,headphones
5293319,1400,3,se,headphones
5309246,76213.4,3,se,headphones
5700912,148506,3,se,headphones
358169,83588,4,se,headphones
2886018,486876,4,se,headphones
3045309,28398.039999999997,4,se,headphones
4012588,90049,4,se,headphones
4758843,152828,4,se,headphones
5301323,198493,4,se,headphones
5343139,44502,4,se,headphones
5462516,125820.76,4,se,headphones
5725121,57254.23,4,se,headphones
285615,38164,5,se,headphones
495069,2140880.22,5,se,headphones
3314563,47812,5,se,headphones
4221036,122501.83000000002,5,se,headphones
