Country,Product Category,Market Type,Product ID,Market Size,CPG,Normalised CPG,CPG Upper,Excess Amount,Excess %
GB,Headphones,A,5068091,6,32703.5,5.4312317567240935,4.13139864732315,1.2998331094009439,31.462301761732498
GB,Headphones,A,5324035,2,34713.92,5.765112134920717,4.69059307539833,1.0745190595223866,22.907957314782358
GB,Headphones,NA,3753756,18,1045429.74,14.12601041757797,5.38060938756468,8.74540103001329,162.53551224560368
SE,Freezers,NA,5334815,7,2900444,3.871460491787086,3.78000535006604,0.09145514172104585,2.419444769289759
SE,Headphones,A,3294685,3,1556601,8.659862590778427,3.81484879810254,4.845013792675887,127.00408454158759
SE,Headphones,A,3237125,3,1079076,6.003240319778044,3.81484879810254,2.188391521675504,57.365091973343304
SE,Headphones,NA,3753756,17,24546264.51,28.26135923573727,3.66874857602628,24.592610659710992,670.3269561837325
SE,Headphones,NA,4465677,9,4292450,4.942115383871109,4.21379363799944,0.7283217458716695,17.28422909237318
