country,product category,total mixed markets,avg CPG,median CPG,avg normalised CPG,median normalised CPG,min CPG,max CPG,avg market size,min market size,max market size
gb,freezers,46,24986.170869565216,15301.080000000002,1,0.6123819483936097,51.599999999999966,222884.84,6.717391304347826,2,20
gb,headphones,216,20509.076805555556,11494.4,1,0.5604542861181525,0,204807,6.458333333333333,2,20
se,freezers,9,930713.8044444445,832827,1,0.8948260958664147,131740,1717885.24,10.444444444444445,2,20
se,headphones,158,193261.04430379748,126713.38,1,0.6556591912067513,1400,2186679.4,8.620253164556962,2,20
