Country,Product Category,Market Type,Total Markets,Flagged Markets,Flagged %,Avg Normalised CPG,Avg CPG Upper,Max Excess Amount,Avg Excess Amount,Avg Excess %
GB,Freezers,A,2,0,0,1,7.477120644639189,-Inf,NA,NA
GB,Freezers,NA,15,0,0,1,7.316304445879551,-Inf,NA,NA
GB,Headphones,A,37,2,5.405405405405405,1,4.619126763124887,1.2998331094009439,1.1871760844616652,27.185129538257428
GB,Headphones,NA,22,1,4.545454545454546,1,4.574147247471622,8.74540103001329,8.74540103001329,162.53551224560368
SE,Freezers,NA,8,1,12.5,1,4.820058123424874,0.09145514172104585,0.09145514172104585,2.419444769289759
SE,Headphones,A,40,2,5,1,3.675525529225275,4.845013792675887,3.5167026571756956,92.18458825746545
SE,Headphones,NA,68,2,2.9411764705882355,1,3.7328586189077955,24.592610659710992,12.66046620279133,343.8055926380528
