product_id,tot_consum_loss,mark_size
275193,27666.75,2
439548,39403.119999999995,2
445763,7819.52,2
461476,17.10000000000006,2
516017,4337.890000000001,2
528929,7354.080000000002,2
529855,4801.64,2
615564,3821.099999999999,2
643447,13238.17,2
800452,14223.38,2
842496,37524,2
940852,3728.27,2
964622,12428,2
2814794,2643.5499999999997,2
2972280,3587.0399999999995,2
3021581,0,2
3047540,1288.0000000000002,2
3065050,5775.63,2
3065280,1680.84,2
3178972,417.7600000000001,2
3314563,8025.779999999997,2
3341461,585.12,2
3466923,4050.45,2
3816050,1372.2599999999998,2
4178610,883.8700000000001,2
4805899,2919.1000000000004,2
4862204,43112.469999999994,2
4862594,12748,2
4862595,25332,2
4919205,227.02999999999997,2
5344865,1728.8800000000006,2
5701007,0,2
5791687,1884.0400000000004,2
98204,922.16,3
427234,15687.62,3
712510,8055.71,3
802671,352.98000000000076,3
919137,1188.3100000000002,3
969989,24311.72,3
2721439,190.9,3
3065277,9767.97,3
3129218,2860,3
3314667,4077.94,3
3320051,3954.0100000000007,3
3355786,139.05999999999997,3
3416462,332,3
4907348,8736.280000000002,3
4945592,12746.86,3
5071750,483.2999999999999,3
5118146,7072,3
5220207,52020,3
5288813,1810.79,3
5292247,4498.54,3
5567300,3695.769999999999,3
5607862,28294.91,3
5629971,17633.52,3
5710005,26781.85,3
5758203,3472.5900000000006,3
427237,24862.039999999997,4
427242,44876.89000000001,4
456562,1384,4
473199,14180.160000000002,4
800434,1027.79,4
925757,756.5200000000001,4
2702409,6642.5199999999995,4
2790551,12586.479999999998,4
2909854,28572.51,4
3236464,204807,4
3264675,7327.42,4
3264687,137703.05000000002,4
3285839,6724.53,4
3341463,1330.86,4
3458265,8411.55,4
3505419,19572.59,4
3537595,5243.1399999999985,4
3852940,3271.82,4
3886247,8621.039999999999,4
3911622,12705.67,4
4238504,11820.52,4
4479086,15296.44,4
4543245,2498.510000000001,4
4878914,16999,4
4886988,3969.98,4
4888375,3210.6800000000007,4
4972896,12608.36,4
5027097,5178.819999999999,4
5088875,545.5500000000001,4
5206857,14850.5,4
5344127,6741.019999999999,4
5471852,6646.8,4
5592071,27759.7,4
5629036,8534.53,4
5676697,4497.3,4
837771,32762.41,5
862753,5212.509999999999,5
2708300,13040.74,5
2751000,152345.61,5
2964478,41371.04,5
2969530,45240.12,5
2994559,49857.91,5
2997355,21981.199999999997,5
3240064,10436.23,5
3331923,16650.23,5
3767462,76865.24,5
3770768,8003.47,5
3891097,13337.54,5
3895171,7552.05,5
4175165,81733.72,5
4813950,31763.8,5
4936134,12397.870000000004,5
4989697,17618.65,5
5133287,25945.5,5
5153418,7416.09,5
5189525,19761.34,5
5189578,79509.51,5
5283116,12720.760000000002,5
5425532,12715.96,5
5477233,10400.21,5
5608920,2467.17,5
5700937,52288,5
541262,24617.960000000003,6
3183531,1873.43,6
3894118,1170.81,6
4169129,18383.72,6
4257986,9895.78,6
4676469,30238.28,6
4866251,5889.3,6
4910421,18148.3,6
5082717,14511.659999999998,6
5088772,2303.58,6
5118446,16054.739999999998,6
5301323,81864.85,6
700049,10261.779999999995,7
841321,576.3100000000001,7
2884188,21006.160000000003,7
2975408,8172.139999999999,7
3290416,16346.71,7
3760568,73476.63,7
3760594,98713.93,7
3888004,25264.27000000001,7
4213708,13400.37,7
4360499,8119.840000000001,7
4643947,104063.32,7
4924838,27308.640000000003,7
5238208,8628.810000000001,7
5297000,130083.15,7
5342878,30490.43,7
5457798,23657.91,7
5481256,22949.85,7
5530725,15212.02,7
5629962,8133.54,7
534005,1593.3700000000003,8
702899,28691.860000000004,8
3164005,7641.490000000001,8
4317224,10283.19,8
4486854,13755.320000000002,8
4554964,7686.890000000001,8
4906173,6195.850000000001,8
4914076,19270.590000000004,8
5277547,6175.409999999998,8
5421145,65938.53,8
5461739,22296.619999999995,8
5474674,11576.4,8
5603585,21300.02,8
4026952,11162.57,9
4221036,7496.15,9
4465682,186357.89,9
4481243,30612.97,9
4536567,38281.42,9
4942578,7921.860000000001,9
4989693,12232.119999999995,9
5039861,27259.56,9
5389431,22104.360000000004,9
5390551,3339.389999999999,9
5461737,11995.279999999995,9
5461738,19408.28,9
5710071,11026.18,9
5327973,7241.82,10
5407696,22909.459999999992,10
5471392,11658.65,10
5501687,5328.95,10
589062,5715.099999999998,11
2801104,8972.210000000001,11
3745955,31679.73,11
5294043,14484.109999999995,11
2640186,27792.839999999997,12
3678405,14445.01,12
4861176,12376.000000000002,12
5292645,3789.5500000000006,12
5311758,5625.1,12
5476964,31918.12,12
5783660,20358.26,12
2983138,5309.86,13
4924285,2086.9,13
5233115,14047.22,13
5245219,37792.91,14
5297006,6468.620000000001,14
5343752,2526.6799999999994,14
5783598,14763.770000000002,14
2982204,11412.4,15
5206082,41816.88,15
5783520,10871.36,15
4779863,20941.749999999996,16
4910342,25150.03,16
5118137,194982.87,16
5206083,22241.069999999996,16
5399647,28997.24,16
5770117,4419.3499999999995,16
5264064,72921.01000000001,17
5599237,10063.76,17
3310498,31112.33,18
3829325,23489.71,18
5344585,30758.85,19
4968964,8982.600000000002,20
5723653,5442.18,20
5792157,9772.740000000002,20
