product_id,tot_consum_loss,mark_size,normalized_tcl,region,product,market_type,tcl_upper,flagged,excess_amount,excess_pct
46660,2584.2100000000005,2,0.03491825034670352,gb,headphones,na_markets,4.69059307539833,FALSE,-4.6556748250516264,-99.25556854356337
427243,17.339999999999918,2,2.3430079637948778e-4,gb,headphones,na_markets,4.69059307539833,FALSE,-4.69035877460195,-99.9950048790715
964621,570,2,0.0077019292927513645,gb,headphones,na_markets,4.69059307539833,FALSE,-4.682891146105579,-99.83580052311196
990410,2291.1900000000014,2,0.030958918203963175,gb,headphones,na_markets,4.69059307539833,FALSE,-4.6596341571943665,-99.33997859745412
2671765,12892,2,0.17419872358272034,gb,headphones,na_markets,4.69059307539833,FALSE,-4.5163943518156096,-96.28621112975299
3047559,3512.4,2,0.04746009903133314,gb,headphones,na_markets,4.69059307539833,FALSE,-4.643132976366997,-98.98818553926034
3396624,2263.55,2,0.030585442194047987,gb,headphones,na_markets,4.69059307539833,FALSE,-4.660007633204282,-99.34794083173692
3760583,0,2,0,gb,headphones,na_markets,4.69059307539833,FALSE,-4.69059307539833,-100
5210863,343,2,0.004634669732304768,gb,headphones,na_markets,4.69059307539833,FALSE,-4.6859584056660255,-99.90119224460948
5323063,12563.52,2,0.16976025036503092,gb,headphones,na_markets,4.69059307539833,FALSE,-4.520832825033299,-96.38083611952173
5357325,0,2,0,gb,headphones,na_markets,4.69059307539833,FALSE,-4.69059307539833,-100
3760665,2434.55,3,0.03289602098187339,gb,headphones,na_markets,4.6938888814354,FALSE,-4.6609928604535265,-99.2991734186129
4890724,9045.100000000004,3,0.12221880815064104,gb,headphones,na_markets,4.6938888814354,FALSE,-4.571670073284759,-97.39621428547184
5276485,103303.46000000008,3,1.395852534415034,gb,headphones,na_markets,4.6938888814354,FALSE,-3.2980363470203655,-70.26234387576342
5725226,187135,3,2.5285974354368888,gb,headphones,na_markets,4.6938888814354,FALSE,-2.165291445998511,-46.13001075850694
2824859,409.97,4,0.005539578863419784,gb,headphones,na_markets,4.60822663658865,FALSE,-4.60268705772523,-99.87978935715886
3181806,609.9000000000001,4,0.00824106434324396,gb,headphones,na_markets,4.60822663658865,FALSE,-4.599985572245407,-99.82116625346048
4963384,156690,4,2.1172198261073882,gb,headphones,na_markets,4.60822663658865,FALSE,-2.491006810481262,-54.05564888460628
507862,7806.399999999997,5,0.10548129970339339,gb,headphones,na_markets,3.46123607229934,FALSE,-3.3557547725959465,-96.95249623255773
5270306,26912.150000000012,5,0.3636411866945943,gb,headphones,na_markets,3.46123607229934,FALSE,-3.0975948856047455,-89.49389238125491
3760578,51350,6,0.6938492441803202,gb,headphones,na_markets,4.13139864732315,FALSE,-3.4375494031428295,-83.20546373248476
3753756,1045429.74,18,14.12601041757797,gb,headphones,na_markets,5.38060938756468,TRUE,8.74540103001329,162.53551224560368
