product_id,tot_consum_loss,mark_size,normalized_tcl,region,product,market_type,tcl_upper,flagged,excess_amount,excess_pct
94203,481320,2,0.5541681269589261,se,headphones,na_markets,3.94570603859682,FALSE,-3.3915379116378936,-85.95515931653132
969772,81334,2,0.09364395919155094,se,headphones,na_markets,3.94570603859682,FALSE,-3.852062079405269,-97.62668687744278
971172,97304,2,0.11203103013714648,se,headphones,na_markets,3.94570603859682,FALSE,-3.8336750084596734,-97.1606848295017
971173,57174.9,2,0.06582836209188046,se,headphones,na_markets,3.94570603859682,FALSE,-3.8798776765049396,-98.33164555473853
2992122,127000,2,0.1462215410200773,se,headphones,na_markets,3.94570603859682,FALSE,-3.7994844975767426,-96.29416029502093
2994994,7128,2,0.008206827908591426,se,headphones,na_markets,3.94570603859682,FALSE,-3.9374992106882285,-99.79200609907802
3313907,21176,2,0.024381002776702024,se,headphones,na_markets,3.94570603859682,FALSE,-3.921325035820118,-99.382087703995
3479359,236509,2,0.2723048066544682,se,headphones,na_markets,3.94570603859682,FALSE,-3.6734012319423517,-93.0987051749221
3779650,330702,2,0.3807539847119812,se,headphones,na_markets,3.94570603859682,FALSE,-3.5649520538848387,-90.35016848727571
3865882,856756.99,2,0.9864277744686848,se,headphones,na_markets,3.94570603859682,FALSE,-2.959278264128135,-74.99996794440672
3865884,355561.75,2,0.40937627569130297,se,headphones,na_markets,3.94570603859682,FALSE,-3.536329762905517,-89.62476495494616
3917842,0,2,0,se,headphones,na_markets,3.94570603859682,FALSE,-3.94570603859682,-100
4376881,396,2,4.559348838106348e-4,se,headphones,na_markets,3.94570603859682,FALSE,-3.9452501037130094,-99.98844478328212
4571460,60390,2,0.0695300697811218,se,headphones,na_markets,3.94570603859682,FALSE,-3.8761759688156983,-98.23782945052216
4860782,125655,2,0.14467297430612452,se,headphones,na_markets,3.94570603859682,FALSE,-3.8010330642906953,-96.33340718008549
4877777,17100,2,0.01968809725545923,se,headphones,na_markets,3.94570603859682,FALSE,-3.9260179413413607,-99.50102473263668
4951776,1822961,2,2.0988674538543397,se,headphones,na_markets,3.94570603859682,FALSE,-1.8468385847424802,-46.806289335209996
4963384,2945000,2,3.3907278606624227,se,headphones,na_markets,3.94570603859682,FALSE,-0.5549781779343972,-14.065370620761186
5270306,1490563.9,2,1.7161618145424915,se,headphones,na_markets,3.94570603859682,FALSE,-2.2295442240543286,-56.50558359505169
5276485,398000,2,0.4582375852440218,se,headphones,na_markets,3.94570603859682,FALSE,-3.487468453352798,-88.38642360171917
418250,75800,3,0.08727238432536898,se,headphones,na_markets,3.81484879810254,FALSE,-3.727576413777171,-97.71229768349463
2571718,389584,3,0.44854781761232915,se,headphones,na_markets,3.81484879810254,FALSE,-3.366300980490211,-88.24205515470413
2665697,1869510.32,3,2.152462046797936,se,headphones,na_markets,3.81484879810254,FALSE,-1.662386751304604,-43.576740240175575
2667089,662094.6,3,0.7623030922289109,se,headphones,na_markets,3.81484879810254,FALSE,-3.052545705873629,-80.0174755914816
2702720,227722,3,0.26218788790688224,se,headphones,na_markets,3.81484879810254,FALSE,-3.552660910195658,-93.12717484275416
3236464,90,3,1.03621564502417e-4,se,headphones,na_markets,3.81484879810254,FALSE,-3.814745176538038,-99.99728373075877
3922127,123600,3,0.14230694858331935,se,headphones,na_markets,3.81484879810254,FALSE,-3.6725418495192206,-96.26965690870628
4862585,0,3,0,se,headphones,na_markets,3.81484879810254,FALSE,-3.81484879810254,-100
4910342,187130,3,0.2154522596148588,se,headphones,na_markets,3.81484879810254,FALSE,-3.599396538487681,-94.35227263208905
5471852,36515.56,3,0.04204221617646531,se,headphones,na_markets,3.81484879810254,FALSE,-3.7728065819260745,-98.89793230606212
5471853,11468,3,0.013203690019041312,se,headphones,na_markets,3.81484879810254,FALSE,-3.8016451080834988,-99.65388693712819
5592071,280135,3,0.32253363302093985,se,headphones,na_markets,3.81484879810254,FALSE,-3.4923151650816004,-91.54531017896794
840432,61461,4,0.07076316639870056,se,headphones,na_markets,3.83677575677281,FALSE,-3.7660125903741095,-98.15566061493725
3349540,0,4,0,se,headphones,na_markets,3.83677575677281,FALSE,-3.83677575677281,-100
3806068,684498,4,0.7880972628752826,se,headphones,na_markets,3.83677575677281,FALSE,-3.0486784938975275,-79.45938692184171
4043976,834675,4,0.9610036594561656,se,headphones,na_markets,3.83677575677281,FALSE,-2.8757720973166445,-74.9528322639193
4043977,773118,4,0.8901299633886625,se,headphones,na_markets,3.83677575677281,FALSE,-2.9466457933841474,-76.80005244462426
4095342,639313,4,0.7360734807414857,se,headphones,na_markets,3.83677575677281,FALSE,-3.100702276031324,-80.81531141239768
4910421,469582,4,0.5406535722463776,se,headphones,na_markets,3.83677575677281,FALSE,-3.2961221845264324,-85.90864813269326
4914076,914388.49,4,1.0527818432978076,se,headphones,na_markets,3.83677575677281,FALSE,-2.7839939134750025,-72.56076690331979
368184,41380,5,0.04764289265677795,se,headphones,na_markets,3.23061167341637,FALSE,-3.182968780759592,-98.52526711740641
559483,2763150,5,3.1813547328317058,se,headphones,na_markets,3.23061167341637,FALSE,-0.04925694058466412,-1.5246939454216402
995577,88055,5,0.1013821873584481,se,headphones,na_markets,3.23061167341637,FALSE,-3.129229486057922,-96.86182687344666
3060127,66085,5,0.07608701211269141,se,headphones,na_markets,3.23061167341637,FALSE,-3.1545246613036784,-97.64481095828427
3535940,215574,5,0.24820127940048936,se,headphones,na_markets,3.23061167341637,FALSE,-2.9824103940158806,-92.3172047744749
559476,0,6,0,se,headphones,na_markets,3.49020302949285,FALSE,-3.49020302949285,-100
