"ms","tcl_upper"
2,5.12688339406899
3,4.61173234346966
4,4.72678203205436
5,3.84035948206467
6,3.88553830600024
7,3.78000535006604
8,4.07639590553504
9,4.43943283802617
10,4.01915927291901
11,3.9481237332321
12,3.8571345939022
13,4.38461207923434
14,3.64558309279998
15,3.78755578263312
16,3.79901250654275
17,4.00564227605834
18,4.47796832217726
19,3.96822827549406
20,3.45173232780223
